budget,release_date,revenue,title,month,year,rating,season,genre,profitability,name,category,characters
2500000.0,2011-04-08,0.0,Good Day for It,4,2011,R,Spring,Action,-2500000.0,Kathy Baker,actress,"[""Rose Carter""]"
2500000.0,2011-04-08,0.0,Good Day for It,4,2011,R,Spring,Action,-2500000.0,Jared Acosta,actor,"[""Bobby""]"
1000.0,2011-01-15,0.0,The Agency 3: Survival of the Fittest,1,2011,R,Winter,Action,-1000.0,Alice Nelson,actress,"[""Donna Jamison""]"
1000.0,2011-01-15,0.0,The Agency 3: Survival of the Fittest,1,2011,R,Winter,Action,-1000.0,Philip Williamson,actor,"[""John Anderson""]"
1000.0,2011-01-15,0.0,The Agency 3: Survival of the Fittest,1,2011,R,Winter,Action,-1000.0,Robyn Wheeler,actress,"[""Jessica Summers""]"
1000.0,2011-01-15,0.0,The Agency 3: Survival of the Fittest,1,2011,R,Winter,Action,-1000.0,Mike Lovell,actor,"[""Matt""]"
35000000.0,2012-03-15,0.0,Get the Gringo,3,2012,R,Spring,Action,-35000000.0,Jesús Ochoa,actor,"[""Caracas""]"
35000000.0,2012-03-15,0.0,Get the Gringo,3,2012,R,Spring,Action,-35000000.0,Daniel Giménez Cacho,actor,"[""Javi""]"
35000000.0,2012-03-15,0.0,Get the Gringo,3,2012,R,Spring,Action,-35000000.0,Mel Gibson,actor,"[""Driver""]"
35000000.0,2012-03-15,0.0,Get the Gringo,3,2012,R,Spring,Action,-35000000.0,Kevin Balmore,actor,"[""Kid""]"
10000000.0,2011-06-10,0.0,Beat the World,6,2011,PG-13,Summer,Music,-10000000.0,Nikki Grant,actress,"[""Cherry""]"
10000000.0,2011-06-10,0.0,Beat the World,6,2011,PG-13,Summer,Music,-10000000.0,Ray Sho-Tyme Johnson,actor,"[""Easy""]"
10000000.0,2011-06-10,0.0,Beat the World,6,2011,PG-13,Summer,Music,-10000000.0,Mishael Morgan,actress,"[""Maya""]"
10000000.0,2011-06-10,0.0,Beat the World,6,2011,PG-13,Summer,Music,-10000000.0,Tyrone Marshall Brown,actor,"[""Yuson""]"
300000.0,2011-04-14,0.0,Some Guy Who Kills People,4,2011,R,Spring,Comedy,-300000.0,Kevin Corrigan,actor,"[""Ken Boyd""]"
300000.0,2011-04-14,0.0,Some Guy Who Kills People,4,2011,R,Spring,Comedy,-300000.0,Leo Fitzpatrick,actor,"[""Irv""]"
300000.0,2011-04-14,0.0,Some Guy Who Kills People,4,2011,R,Spring,Comedy,-300000.0,Karen Black,actress,"[""Ruth Boyd""]"
300000.0,2011-04-14,0.0,Some Guy Who Kills People,4,2011,R,Spring,Comedy,-300000.0,Barry Bostwick,actor,"[""Sheriff Walt Fuller""]"
2000000.0,2014-03-26,0.0,The Humbling,3,2014,R,Spring,Drama,-2000000.0,Charles Grodin,actor,"[""Jerry""]"
2000000.0,2014-03-26,0.0,The Humbling,3,2014,R,Spring,Drama,-2000000.0,Al Pacino,actor,"[""Simon Axler""]"
2000000.0,2014-03-26,0.0,The Humbling,3,2014,R,Spring,Drama,-2000000.0,Greta Gerwig,actress,"[""Pegeen Mike Stapleford""]"
2000000.0,2014-03-26,0.0,The Humbling,3,2014,R,Spring,Drama,-2000000.0,Nina Arianda,actress,"[""Sybil""]"
200000.0,2010-01-01,0.0,15 Till Midnight,1,2010,R,Winter,Drama,-200000.0,Devanny Pinn,actress,"[""Nara""]"
200000.0,2010-01-01,0.0,15 Till Midnight,1,2010,R,Winter,Drama,-200000.0,Dee Martin,actor,"[""Damon""]"
200000.0,2010-01-01,0.0,15 Till Midnight,1,2010,R,Winter,Drama,-200000.0,Andrew Roth,actor,"[""Sarosta""]"
200000.0,2010-01-01,0.0,15 Till Midnight,1,2010,R,Winter,Drama,-200000.0,Brandon Slagle,actor,"[""Lukas"",""Reverse Lukas""]"
500.0,2012-12-31,0.0,Changing the Game,12,2012,R,Holiday,Drama,-500.0,Suzzanne Douglas,actress,"[""Mrs. Davis""]"
500.0,2012-12-31,0.0,Changing the Game,12,2012,R,Holiday,Drama,-500.0,Thomas Staten,actor,"[""Young Andre 'Dre' Newell""]"
500.0,2012-12-31,0.0,Changing the Game,12,2012,R,Holiday,Drama,-500.0,Jakobi Alvin,actor,"[""Young Darrell Barnes""]"
500.0,2012-12-31,0.0,Changing the Game,12,2012,R,Holiday,Drama,-500.0,Karen Issac,actress,"[""Ms. Brown""]"
2000000.0,2010-11-23,0.0,A Nanny for Christmas,11,2010,G,Holiday,Comedy,-2000000.0,Dean Cain,actor,"[""Danny Donner""]"
2000000.0,2010-11-23,0.0,A Nanny for Christmas,11,2010,G,Holiday,Comedy,-2000000.0,Cynthia Gibb,actress,"[""Samantha Ryland""]"
2000000.0,2010-11-23,0.0,A Nanny for Christmas,11,2010,G,Holiday,Comedy,-2000000.0,Richard Ruccolo,actor,"[""Justin Larose""]"
2000000.0,2010-11-23,0.0,A Nanny for Christmas,11,2010,G,Holiday,Comedy,-2000000.0,Emmanuelle Vaugier,actress,"[""Ally Leeds""]"
8000000.0,2010-09-03,0.0,Somewhere,9,2010,R,Fall,Comedy,-8000000.0,Chris Pontius,actor,"[""Sammy""]"
8000000.0,2010-09-03,0.0,Somewhere,9,2010,R,Fall,Comedy,-8000000.0,Stephen Dorff,actor,"[""Johnny Marco""]"
8000000.0,2010-09-03,0.0,Somewhere,9,2010,R,Fall,Comedy,-8000000.0,Elle Fanning,actress,"[""Cleo""]"
8000000.0,2010-09-03,0.0,Somewhere,9,2010,R,Fall,Comedy,-8000000.0,Erin Wasson,actress,"[""Party Girl #1""]"
48000000.0,2012-12-20,0.0,Chinese Zodiac,12,2012,PG-13,Holiday,Action,-48000000.0,Qi Shu,actress,"[""David's Wife""]"
48000000.0,2012-12-20,0.0,Chinese Zodiac,12,2012,PG-13,Holiday,Action,-48000000.0,Sang-Woo Kwon,actor,"[""Simon""]"
48000000.0,2012-12-20,0.0,Chinese Zodiac,12,2012,PG-13,Holiday,Action,-48000000.0,Jackie Chan,actor,"[""Asian Hawk""]"
48000000.0,2012-12-20,0.0,Chinese Zodiac,12,2012,PG-13,Holiday,Action,-48000000.0,Xingtong Yao,actress,"[""Coco""]"
10000000.0,2011-11-10,0.0,Arthur Christmas,11,2011,PG,Holiday,Drama,-10000000.0,Hugh Laurie,actor,"[""Steve""]"
10000000.0,2011-11-10,0.0,Arthur Christmas,11,2011,PG,Holiday,Drama,-10000000.0,Bill Nighy,actor,"[""Grandsanta""]"
10000000.0,2011-11-10,0.0,Arthur Christmas,11,2011,PG,Holiday,Drama,-10000000.0,James McAvoy,actor,"[""Arthur""]"
10000000.0,2011-11-10,0.0,Arthur Christmas,11,2011,PG,Holiday,Drama,-10000000.0,Jim Broadbent,actor,"[""Santa""]"
11000000.0,2010-09-23,0.0,Mother's Day,9,2010,R,Fall,Crime,-11000000.0,Rebecca De Mornay,actress,"[""Mother""]"
11000000.0,2010-09-23,0.0,Mother's Day,9,2010,R,Fall,Crime,-11000000.0,Shawn Ashmore,actor,"[""George""]"
