budget,release_date,revenue,title,month,year,rating,season,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
2000.0,2015-09-26,0.0,Fangboner,9,2015,,Fall,Comedy,Horror,,,,,
0.0,2015-09-11,0.0,Leopard Vision Vol.1,9,2015,,Fall,Drama,Documentary,,,,,
1060000.0,2016-07-27,0.0,Ignatius of Loyola,7,2016,,Summer,Action,Drama,History,Romance,War,,
0.0,2016-05-04,0.0,Rogues In Robes,5,2016,,Summer,Crime,Drama,Documentary,Family,History,,
0.0,2017-03-23,0.0,Samuel Barber: Absolute Beauty,3,2017,,Spring,History,Documentary,Music,,,,
9000000.0,2017-05-02,0.0,The Shadow Effect,5,2017,,Summer,Science Fiction,Action,Thriller,,,,
0.0,2016-07-21,0.0,Back and Forth,7,2016,,Summer,Romance,Comedy,,,,,
0.0,2016-07-12,0.0,CHARACTERz,7,2016,,Summer,Comedy,Family,,,,,
0.0,2017-09-04,0.0,Denounced,9,2017,,Fall,Drama,,,,,,
0.0,2017-03-12,0.0,The Light of the Moon,3,2017,,Spring,Drama,,,,,,
0.0,2017-12-15,0.0,Desolation,12,2017,,Holiday,Horror,Drama,Thriller,,,,
0.0,2015-12-15,0.0,The Legend Of Wasco,12,2015,,Holiday,Horror,,,,,,
0.0,2016-07-01,0.0,The Father and the Bear,7,2016,,Summer,,,,,,,
0.0,2015-11-05,0.0,The Priests,11,2015,,Holiday,Mystery,Thriller,,,,,
10000.0,2016-03-03,0.0,Loose Screws,3,2016,,Spring,,,,,,,
0.0,2016-10-03,0.0,Beyond Valkyrie: Dawn of the Fourth Reich,10,2016,,Fall,Action,War,History,,,,
0.0,2019-08-13,0.0,Drowning Echo,8,2019,,Summer,Horror,Mystery,Thriller,,,,
0.0,2019-02-09,0.0,The Living Worst,2,2019,,Winter,Comedy,Drama,,,,,
0.0,2018-06-22,0.0,Racing Colt,6,2018,,Summer,Drama,,,,,,
0.0,2016-07-22,0.0,The Videoblogs,7,2016,NR,Summer,Drama,,,,,,
0.0,2018-06-19,0.0,Frat Pack,6,2018,R,Summer,Comedy,,,,,,
0.0,2016-05-01,0.0,LIVELove,5,2016,R,Summer,Comedy,Romance,Drama,,,,
